name,target_mode,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,anchor,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_midnight_target,delta_vs_v002
hist_expensive_c0.5_n12_soft,forecast,hist_expensive,0.5,0.0,12,soft,h0_and_h18,13672007.4495891,13361094.773152597,252862.35579321557,58050.320643287916,21916278.907033905,21278656.594630446,518582.2125546805,1156204.524958139,10098.147862515261,2058526.4703060715,7890.836016580711,1200.0,10800.0,10531.313488018248,10505.874117854326,6835188.694165781,5544149.916945558,10672.931038139,150597.742136864
hist_expensive_c0.8_n12_soft,forecast,hist_expensive,0.8,0.0,12,soft,h0_and_h18,13679621.420419876,13370736.205597036,250852.2275445559,58032.98727828792,21938766.845321395,21287507.404182684,518747.10623098386,1170006.547369694,10095.577862515262,2064654.4678156753,7896.627665623902,1200.0,10800.0,10577.893989248505,10552.454619084583,6849505.757548062,5555746.738285206,10771.25748502994,158211.7129676398
hist_expensive_c1.0_n12_soft,forecast,hist_expensive,1.0,0.0,12,soft,h0_and_h18,13679621.420419876,13370736.205597036,250852.2275445559,58032.98727828792,21938766.845321395,21287507.404182684,518747.10623098386,1170006.547369694,10095.577862515262,2064654.4678156753,7896.627665623902,1200.0,10800.0,10577.893989248505,10552.454619084583,6849505.757548062,5555746.738285206,10771.25748502994,158211.7129676398
hist_expensive_c0.5_n37_soft,forecast,hist_expensive,0.5,0.0,37,soft,h0_and_h18,13679962.443596978,13334442.866604218,284479.5374176747,61040.039575084884,21847092.757175837,21393449.631674565,523010.74385151675,976653.8693527903,10578.61971303145,2165181.939554409,7933.562841723472,1200.0,10800.0,10726.351280574258,10700.91198920641,6880546.672903657,5580889.856037136,10672.931038139,158552.736144742
hist_expensive_c0.5_n37_ge,forecast,hist_expensive,0.5,0.0,37,ge,h0_and_h18,13679962.443596978,13334442.866604218,284479.5374176747,61040.039575084884,21847092.757175837,21393449.631674565,523010.74385151675,976653.8693527903,10578.61971303145,2165181.939554409,7933.562841723472,1200.0,10800.0,10726.351280574258,10700.91198920641,6880546.672903657,5580889.856037136,10672.931038139,158552.736144742
hist_expensive_c0.5_n24_soft,forecast,hist_expensive,0.5,0.0,24,soft,h0_and_h18,13679987.229245897,13334442.866604218,284504.1595349643,61040.203106716144,21847092.757175837,21393444.496274617,523032.6368723455,976680.8977735667,10578.643155065749,2165180.1283608573,7933.561199784706,1200.0,10800.0,10726.351280574258,10700.91198920641,6880529.30045965,5580875.784357492,10672.931038139,158577.52179366164
hist_expensive_c0.5_n24_ge,forecast,hist_expensive,0.5,0.0,24,ge,h0_and_h18,13679987.229245897,13334442.866604218,284504.1595349643,61040.203106716144,21847092.757175837,21393444.496274617,523032.6368723455,976680.8977735667,10578.643155065749,2165180.1283608573,7933.561067019536,1200.0,10800.0,10726.351280574258,10700.91198920641,6880529.30045965,5580875.784357492,10672.931038139,158577.52179366164
hist_morning_c1.0_n12_ge,forecast,hist_morning,1.0,0.0,12,ge,h0_and_h18,13682389.704636976,13235627.885116413,392147.747574145,54614.07194641866,21617251.33474229,21143080.651097946,585412.9992100813,1059583.682854427,9803.388447564419,2013477.2526513226,7657.102828877598,1200.0,10800.0,8965.035891609496,8939.596521445577,6357180.876835771,5156963.584908249,8531.431532504435,160979.99718474038
hist_expensive_c1.0_n37_ge,forecast,hist_expensive,1.0,0.0,37,ge,h0_and_h18,13688562.081387602,13342351.094568158,285170.94724436,61040.039575084884,21865603.44757438,21412433.317019142,523630.4288127544,976800.5593679936,10578.61971303145,2180233.6428802162,7941.558613040408,1200.0,10800.0,10786.162812705863,10760.723521338017,6901241.315107715,5597652.516222425,10771.25748502994,167152.37393536605
hist_expensive_c0.8_n37_soft,forecast,hist_expensive,0.8,0.0,37,soft,h0_and_h18,13688562.081387602,13342351.094568158,285170.94724436,61040.039575084884,21865603.44757438,21412433.317019142,523630.4288127544,976800.5593679936,10578.61971303145,2180233.6428802162,7941.558613040408,1200.0,10800.0,10786.162812705863,10760.723521338017,6901241.315107715,5597652.516222425,10771.25748502994,167152.37393536605
hist_expensive_c0.8_n37_ge,forecast,hist_expensive,0.8,0.0,37,ge,h0_and_h18,13688562.081387602,13342351.094568158,285170.94724436,61040.039575084884,21865603.44757438,21412433.317019142,523630.4288127544,976800.5593679936,10578.61971303145,2180233.6428802162,7941.558613040408,1200.0,10800.0,10786.162812705863,10760.723521338017,6901241.315107715,5597652.516222425,10771.25748502994,167152.37393536605
hist_expensive_c1.0_n37_soft,forecast,hist_expensive,1.0,0.0,37,soft,h0_and_h18,13688562.081387602,13342351.094568158,285170.94724436,61040.039575084884,21865603.44757438,21412433.317019142,523630.4288127544,976800.5593679936,10578.61971303145,2180233.6428802162,7941.558613040408,1200.0,10800.0,10786.162812705863,10760.723521338017,6901241.315107715,5597652.516222425,10771.25748502994,167152.37393536605
hist_expensive_c0.8_n24_soft,forecast,hist_expensive,0.8,0.0,24,soft,h0_and_h18,13688586.867036521,13342351.094568158,285195.56936164957,61040.203106716144,21865603.44757438,21412428.181619193,523652.32183358324,976827.5877887699,10578.643155065749,2180231.8316866644,7941.556971101643,1200.0,10800.0,10786.162812705863,10760.723521338017,6901223.94266371,5597638.44454278,10771.25748502994,167177.1595842857
hist_expensive_c1.0_n24_soft,forecast,hist_expensive,1.0,0.0,24,soft,h0_and_h18,13688586.867036521,13342351.094568158,285195.56936164957,61040.203106716144,21865603.44757438,21412428.181619193,523652.32183358324,976827.5877887699,10578.643155065749,2180231.8316866644,7941.556971101643,1200.0,10800.0,10786.162812705863,10760.723521338017,6901223.94266371,5597638.44454278,10771.25748502994,167177.1595842857
hist_expensive_c1.0_n24_ge,forecast,hist_expensive,1.0,0.0,24,ge,h0_and_h18,13688586.867036521,13342351.094568158,285195.56936164957,61040.203106716144,21865603.44757438,21412428.181619193,523652.32183358324,976827.5877887699,10578.643155065749,2180231.8316866644,7941.556838336471,1200.0,10800.0,10786.162812705863,10760.723521338017,6901223.94266371,5597638.44454278,10771.25748502994,167177.1595842857
hist_expensive_c0.8_n24_ge,forecast,hist_expensive,0.8,0.0,24,ge,h0_and_h18,13688586.867036521,13342351.094568158,285195.56936164957,61040.203106716144,21865603.44757438,21412428.181619193,523652.32183358324,976827.5877887699,10578.643155065749,2180231.8316866644,7941.556838336471,1200.0,10800.0,10786.162812705863,10760.723521338017,6901223.94266371,5597638.44454278,10771.25748502994,167177.1595842857
hybrid_morning_c0.8_n12_ge,forecast,hybrid_morning,0.8,0.0,12,ge,h0_and_h18,13689921.073179757,13149668.325227443,483398.5423606251,56854.20559168765,21418987.64623066,21125577.093280055,729022.9524432824,1022433.5053938922,10414.187452718108,2000127.2295134012,7612.177271522524,1200.0,10800.0,8595.311344540878,8574.25244244168,6331604.538019601,5134929.981766896,7641.936919909071,168511.36572752148
hybrid_morning_c1.0_n12_ge,forecast,hybrid_morning,1.0,0.0,12,ge,h0_and_h18,13734533.122975342,13200461.209147977,482500.5526544444,51571.361172921446,21530343.395597726,21173412.42770455,690985.986246468,1047916.9541396424,9330.48488858115,2047260.4256332673,7695.710633211274,1200.0,10800.0,9199.947478747392,9174.508108583472,6336526.666655121,5140233.674661923,8529.619177982922,213123.41552310623
hist_expensive_c0.3_n12_ge,forecast,hist_expensive,0.3,0.0,12,ge,h0_and_h18,13804454.078053571,13296855.947824668,471672.050486061,35926.079742841,21757182.48092307,21270156.053853836,629320.5939074106,1116347.020976645,6522.362458853684,2108227.191313339,7867.354215465424,1200.0,10800.0,9976.094050434702,9952.786481536214,6506673.606545118,5277411.876512432,9803.646753255987,283044.37060133554
h18only_hist_morning_c0.5_n12_soft,forecast,hist_morning,0.5,0.0,12,soft,h18_only,13819683.306013484,12596819.6714,1162798.8078629328,60064.826750552435,20119389.764871024,21058225.20382108,1890029.4369074209,951193.9979573643,10933.934250267142,1923289.4381326097,7404.088629151835,1200.0,10800.0,6395.064989602174,6381.981827450169,6371647.386920869,5164967.181948798,,298273.5985612478
h18only_hist_morning_c0.5_n12_ge,forecast,hist_morning,0.5,0.0,12,ge,h18_only,13848134.699494796,12594367.604941946,1193702.267802298,60064.826750552435,20112785.761482786,21067726.82333994,1906130.3683846206,951189.3065274672,10933.934250267142,1936451.7991778487,7415.8227934559,1200.0,10800.0,6412.860208312992,6399.777046160987,6352380.3262557145,5149360.862810022,,326724.99204256013
hist_expensive_c0.5_n12_ge,forecast,hist_expensive,0.5,0.0,12,ge,h0_and_h18,13896584.75081103,13336253.484232387,526803.2962283647,33527.97035027713,21851787.276677188,21358715.210731655,661890.6094637671,1154962.6754093023,6056.677693468743,2162454.3940713066,7992.142085441592,1200.0,10800.0,10713.118124961471,10687.67875479755,6688289.863465399,5425161.864078248,10672.931038139,375175.0433587935
hist_expensive_c0.8_n12_ge,forecast,hist_expensive,0.8,0.0,12,ge,h0_and_h18,13917208.329065539,13344639.570093606,546185.0152205961,26383.74375133851,21871394.715158798,21375941.802174605,673311.7848366608,1168764.6978208574,4936.714055565547,2177359.0903629875,8004.053963374613,1200.0,10800.0,10769.281127209293,10743.841757045371,6694615.818798893,5430285.887898378,10771.25748502994,395798.6216133032
