name,family,tv0,tv6,tv12,tv18,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,delta_vs_v002
refine_0.429000,refine,0.429,0.429,0.429,0.429,13521612.05676074,13189079.107119158,269587.25965430075,62945.68998728275,21505181.830402344,21033449.571809128,501579.8356013644,973312.0941945778,11602.854539463442,1889013.0442231544,6923.457839642102,1200.0,10800.0,2660.6957331223316,2658.8109402878454,6407455.030972743,5190605.14381397,202.3493085037917
eve_early0.449_h18_0.395,split_h18,0.44891944444444437,0.44891944444444437,0.44891944444444437,0.395,13521612.05676074,13189079.107119158,269587.25965430075,62945.68998728275,21505181.830402344,21033449.571809128,501579.8356013644,973312.0941945778,11602.854539463442,1889013.0442231544,6923.457839642102,1200.0,10800.0,2660.6957331223316,2658.8109402878454,6407455.030972743,5190605.14381397,202.3493085037917
split_da0.445_upd0.415,split_da_upd,0.445,0.415,0.415,0.415,13521612.05676074,13189079.107119158,269587.25965430075,62945.68998728275,21505181.830402344,21033449.571809128,501579.8356013644,973312.0941945778,11602.854539463442,1889013.0442231544,6923.457839642102,1200.0,10800.0,2660.6957331223316,2658.8109402878454,6407455.030972743,5190605.14381397,202.3493085037917
eve_early0.445_h18_0.550,split_h18,0.445,0.445,0.445,0.55,13521842.270052169,13183393.425225275,275503.15483961115,62945.68998728275,21491913.855527177,21032965.517198876,501515.09585990454,960463.4341882112,11602.854539463442,1888937.6645866877,6931.8614027205695,1200.0,10800.0,2697.2725263019265,2695.3877334674403,6405304.11005805,5188862.897873067,432.5625999327749
eve_early0.449_h18_0.550,split_h18,0.44891944444444437,0.44891944444444437,0.44891944444444437,0.55,13521842.270052169,13183393.425225275,275503.15483961115,62945.68998728275,21491913.855527177,21032965.517198876,501515.09585990454,960463.4341882112,11602.854539463442,1888937.6645866877,6931.8614027205695,1200.0,10800.0,2697.2725263019265,2695.3877334674403,6405304.11005805,5188862.897873067,432.5625999327749
scalar_0.470000,scalar,0.47,0.47,0.47,0.47,13534202.353638848,13203754.609236905,269234.07051442773,61213.67388751463,21559867.316963278,21085866.6811919,499189.0043114035,973189.6400827782,10603.50995277195,1921138.044196318,7408.3641450129335,1200.0,10800.0,5569.271487001104,5567.26963258713,6509181.102202801,5273038.450221109,12792.646186612546
split_da0.415_upd0.475,split_da_upd,0.415,0.475,0.475,0.475,13538876.961475348,13183151.140806643,284338.569226268,71387.25144243611,21463672.822294686,21017176.840073682,520953.90264435054,967449.8848653511,15619.181611456745,1881392.7634906326,6817.177221624749,1200.0,10800.0,2019.414091111361,2017.2895949078859,6383433.614666356,5171219.851438513,17467.254023112357
split_da0.415_upd0.449,split_da_upd,0.415,0.448919,0.448919,0.448919,13538876.961475348,13183151.140806643,284338.569226268,71387.25144243611,21463672.822294686,21017176.840073682,520953.90264435054,967449.8848653511,15619.181611456745,1881392.7634906326,6817.177221624749,1200.0,10800.0,2019.414091111361,2017.2895949078859,6383433.614666356,5171219.851438513,17467.254023112357
split_da0.415_upd0.445,split_da_upd,0.415,0.445,0.445,0.445,13538876.961475348,13183151.140806643,284338.569226268,71387.25144243611,21463672.822294686,21017176.840073682,520953.90264435054,967449.8848653511,15619.181611456745,1881392.7634906326,6817.177221624749,1200.0,10800.0,2019.414091111361,2017.2895949078859,6383433.614666356,5171219.851438513,17467.254023112357
split_da0.415_upd0.500,split_da_upd,0.415,0.5,0.5,0.5,13538876.961475348,13183151.140806643,284338.569226268,71387.25144243611,21463672.822294686,21017176.840073682,520953.90264435054,967449.8848653511,15619.181611456745,1881392.7634906326,6817.177221624749,1200.0,10800.0,2019.414091111361,2017.2895949078859,6383433.614666356,5171219.851438513,17467.254023112357
anchor_last_slot,scalar,0.4276,0.4276,0.4276,0.4276,13539032.077522606,13185081.531953879,282563.2941262908,71387.25144243611,21468188.21163597,21017763.04792629,520989.4768380943,971414.640547774,15619.181611456745,1881434.0494572683,6815.021457199434,1200.0,10800.0,2007.220562250341,2005.0960660468659,6386301.62459252,5173542.939478707,17622.370070369914
