name,target_mode,waypoint,need_kind,cover_ratio,fixed_kwh,n_cheapest,enforce,total_cost,plan_cost,adjustment_cost,emergency_cost,plan_kwh,final_kwh,upward_kwh,downward_kwh,emergency_kwh,spill_kwh,mean_soc,min_soc,max_soc,mean_soc_open,mean_soc_close,charge_kwh,discharge_kwh,mean_soc6_target,delta_vs_v002
six_fixed3000_n48_soft,fixed,six,,0.0,3000.0,48,soft,13600057.08362231,13024786.928702839,516521.42465381604,58748.73026565526,21120997.227508772,21040133.11987154,863264.0121314119,944128.1197686429,10464.688653794563,1900719.8078761077,7113.023047668246,1200.0,10800.0,3719.88856858473,3717.8814527802315,6375220.235228395,5164531.729545832,3000.0,78647.37617007457
six_fixed3000_n48_ge,fixed,six,,0.0,3000.0,48,ge,13600057.08362231,13024786.928702839,516521.42465381604,58748.73026565526,21120997.227508772,21040133.11987154,863264.0121314119,944128.1197686429,10464.688653794563,1900719.8078761077,7113.0234292393625,1200.0,10800.0,3719.88856858473,3717.8814527802315,6375220.235228395,5164531.729545832,3000.0,78647.37617007457
midnight_hybrid_morning_c0.8_n48_soft,forecast,midnight,hybrid_morning,0.8,0.0,48,soft,13609230.992633816,13187970.08036559,362408.6170886,58852.295179624634,21413958.02900114,21107437.660507817,659890.7798607404,966411.148354067,10927.917456884083,1977602.3831227599,7574.218081913817,1200.0,10800.0,8579.064411578276,8558.050313352664,6357318.620009957,5155744.920134684,7641.936919909071,87821.28518158011
midnight_hist_morning_c0.5_n12_ge,forecast,midnight,hist_morning,0.5,0.0,12,ge,13644886.987872956,13373400.649246216,209232.02190481214,62254.31672192924,21443491.420335248,20865549.237464882,484904.33556320006,1062846.5184335634,11427.868318897421,1795676.830929278,7107.986261280425,1200.0,10800.0,6436.66364158163,6423.592415856111,6031789.422847005,4889678.642959166,5793.963230358727,123477.28042072058
midnight_hist_morning_c0.5_n12_soft,forecast,midnight,hist_morning,0.5,0.0,12,soft,13644886.987872956,13373400.649246216,209232.02190481214,62254.31672192924,21443491.420335248,20865549.237464882,484904.33556320006,1062846.5184335634,11427.868318897421,1795676.830929278,7107.986078708177,1200.0,10800.0,6436.66364158163,6423.592415856111,6031789.422847005,4889678.642959166,5793.963230358727,123477.28042072058
midnight_hybrid_morning_c0.8_n48_ge,forecast,midnight,hybrid_morning,0.8,0.0,48,ge,13655743.372975932,13184562.808057208,413754.0819233856,57426.48299534087,21404781.80902064,21125020.4592249,686536.9972612036,966298.3470569422,10686.117794202175,2000314.7484716554,7592.034123258229,1200.0,10800.0,8603.790752843099,8582.776654617486,6329048.271091589,5132845.937510807,7641.936919909071,134333.6655236967
midnight_hybrid_morning_c0.5_n12_soft,forecast,midnight,hybrid_morning,0.5,0.0,12,soft,13662512.789882226,13276152.530835077,325075.269695202,61284.98935194639,21307092.053205483,20913746.057911076,660457.1315887647,1053803.1268831673,11282.293139106441,1826472.9063935254,7213.796278077241,1200.0,10800.0,6852.114353369799,6839.11409659075,6122493.825672497,4963127.875982505,5790.488152363329,141103.08242999017
midnight_hybrid_morning_c0.5_n12_ge,forecast,midnight,hybrid_morning,0.5,0.0,12,ge,13663189.68273301,13275869.561247157,327145.2096566359,60174.91182921777,21306329.948201656,20914053.139497746,661526.3181792622,1053803.1268831673,11113.867978039436,1826812.5225442478,7214.904823440829,1200.0,10800.0,6854.167929727416,6841.167672948367,6121436.142908716,4962271.152943842,5790.488152363329,141779.97528077476
midnight_fixed5000_n12_soft,fixed,midnight,,0.0,5000.0,12,soft,13668346.631424371,13391766.467807893,214754.66603970062,61825.497576777794,21431448.67286427,20823014.14124438,489362.1089081194,1097796.6405280114,10933.525431906904,1746337.3014841313,6835.8087602791875,1200.0,10800.0,5665.47440157474,5663.362733462827,6047661.250841739,4899240.3806162495,5000.0,146936.9239721354
midnight_fixed5000_n12_ge,fixed,midnight,,0.0,5000.0,12,ge,13668346.631424371,13391766.467807893,214754.66603970062,61825.497576777794,21431448.67286427,20823014.14124438,489362.1089081194,1097796.6405280114,10933.525431906904,1746337.3014841313,6835.809141850304,1200.0,10800.0,5665.47440157474,5663.362733462827,6047661.250841739,4899240.3806162495,5000.0,146936.9239721354
